niftyvolume,niftybuyorders,niftysellorders,netorders,time,niftyvolumediff,niftybuyordersdiff,niftysellordersdiff,scaled_niftybuyorders,scaled_niftysellorders,color,niftyturnover,niftyturnovervolume,niftyturnoverdiff,niftyturnovervolumediff,niftyfutturnover,niftyfutturnovervolume,niftyfutturnoverdiff,niftyfutturnovervolumediff
13100151,204061000,137461375,66599625,09:59,0.0,0.0,0.0,430.7066292751211,192.4065192046117,red,67645866345,940039775,0.0,0.0,43395652715,1801975,0.0,0.0
14095112,203318800,134799100,68519700,10:01,994961.0,-742200.0,-2662275.0,383.95409446882564,1.0,red,72719127429,1010387950,5073261084.0,70348175.0,43395652715,1801975,0.0,0.0
14566482,204656850,136705050,67951800,10:02,471370.0,1338050.0,1905950.0,468.2403100408596,138.02989183237256,red,73584402137,1022435050,865274708.0,12047100.0,43705976542,1814825,310323827.0,12850.0
14497835,205472100,135995400,69476700,10:03,-68647.0,815250.0,-709650.0,519.5943978889225,87.00900317378068,red,74787688862,1038949500,1203286725.0,16514450.0,43622220735,1811375,-83755807.0,-3450.0
14570938,205959550,136747725,69211825,10:04,73103.0,487450.0,752325.0,550.2997644900122,141.09804715331305,red,74459791341,1032966275,-327897521.0,-5983225.0,44494727337,1847575,872506602.0,36200.0
14589916,205828375,136621200,69207175,10:05,18978.0,-131175.0,-126525.0,542.036811440678,132.00142496275666,red,76639421738,1063418900,2179630397.0,30452625.0,44940931440,1866100,446204103.0,18525.0
15035008,205336675,139871050,65465625,10:06,445092.0,-491700.0,3249850.0,511.0637295702179,365.6521471597901,red,77011190557,1074049375,371768819.0,10630475.0,45646743381,1895400,705811941.0,29300.0
15069171,205018225,140491775,64526450,10:07,34163.0,-318450.0,620725.0,491.0039819158595,410.2796975192694,red,77877357271,1079374375,866166714.0,5325000.0,45694916257,1897400,48172876.0,2000.0
15683396,209066200,135511675,73554525,10:09,614225.0,4047975.0,-4980100.0,745.9933272170097,52.231184014508706,red,81520329055,1127733900,2710533864.0,34958525.0,49302439903,2047025,495155265.0,20525.0
15819969,208912475,136310850,72601625,10:10,136573.0,-153725.0,799175.0,736.3099084443099,109.68854848111926,red,81989561063,1132840975,469232008.0,5107075.0,49833217984,2069025,530778081.0,22000.0
