niftyvolume,niftybuyorders,niftysellorders,netorders,time,niftyvolumediff,niftybuyordersdiff,niftysellordersdiff,scaled_niftybuyorders,scaled_niftysellorders,color,net_orders_color,niftyturnover,niftyturnovervolume,niftyturnoverdiff,niftyturnovervolumediff
13100151,204061000,137461375,66599625,09:59,0.0,0.0,0.0,932.1065029802536,862.8310733299996,red,green,67645866345,940039775,0.0,0.0
14095112,203318800,134799100,68519700,10:01,994961.0,-742200.0,-2662275.0,927.0134871284986,836.085498494211,red,green,72719127429,1010387950,5073261084.0,70348175.0
14566482,204656850,136705050,67951800,10:02,471370.0,1338050.0,1905950.0,936.1952573527518,855.2329300549143,red,green,73584402137,1022435050,865274708.0,12047100.0
14497835,205472100,135995400,69476700,10:03,-68647.0,815250.0,-709650.0,941.7895461874907,848.1036901446056,red,green,74787688862,1038949500,1203286725.0,16514450.0
14570938,205959550,136747725,69211825,10:04,73103.0,487450.0,752325.0,945.1344539979702,855.661648878521,red,green,74459791341,1032966275,-327897521.0,-5983225.0
14589916,205828375,136621200,69207175,10:05,18978.0,-131175.0,-126525.0,944.234324175343,854.3905616106399,red,green,76639421738,1063418900,2179630397.0,30452625.0
15035008,205336675,139871050,65465625,10:06,445092.0,-491700.0,3249850.0,940.860252638954,887.0389943909078,red,green,77011190557,1074049375,371768819.0,10630475.0
15069171,205018225,140491775,64526450,10:07,34163.0,-318450.0,620725.0,938.6750318116954,893.2748817203328,red,green,77877357271,1079374375,866166714.0,5325000.0
15683396,209066200,135511675,73554525,10:09,614225.0,4047975.0,-4980100.0,966.4524514324278,843.2441233502503,red,green,81520329055,1127733900,2710533864.0,34958525.0
15819969,208912475,136310850,72601625,10:10,136573.0,-153725.0,799175.0,965.397582311152,851.2727435226185,red,green,81989561063,1132840975,469232008.0,5107075.0
15996194,210010225,137772800,72237425,10:11,176225.0,1097750.0,1461950.0,972.9304011622215,865.9596910134604,red,green,82888822814,1145674300,899261751.0,12833325.0
16138624,209273675,134817825,74455850,10:12,142430.0,-736550.0,-2954975.0,967.8761559107933,836.2736123775627,red,green,84297283277,1165168450,1408460463.0,19494150.0
16363071,210252650,138705250,71547400,10:13,224447.0,978975.0,3887425.0,974.5939343983597,875.3272098669339,red,green,85110168188,1176586050,812884911.0,11417600.0
16535119,208969700,139783650,69186050,10:14,172048.0,-1282950.0,1078400.0,965.7902633029555,886.1609621663449,red,green,85449760237,1181654575,339592049.0,5068525.0
16713875,209089675,139800300,69289375,10:15,178756.0,119975.0,16650.0,966.613538130245,886.3282303189649,red,green,86232469447,1193664800,782709210.0,12010225.0
